鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
三重區,房地(土地+建物)+車位,新北市三重區福德北路82號10樓,17.82,住,,,1110522,土地2建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,187.18,3,2,2,有,無,30000000,187166,坡道平面,41.32,2700000,1.雨遮不計價。2.土地已由8筆整合成2筆。,RPTNMLMLNHHGFGF48CB,寶石心富町,A1戶棟10F號
三重區,房地(土地+建物)+車位,新北市三重區福德北路90號11樓,17.96,住,,,1110522,土地2建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,188.49,3,2,2,有,無,29650000,183801,坡道平面,41.32,2600000,1.雨遮不計價。2.土地已由8筆整合成2筆。,RPUNMLMLNHHGFGF58CB,寶石心富町,A3戶棟11F號
泰山區,房地(土地+建物)+車位,新北市泰山區信華二街,14.34,住,,,1110521,土地9建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.64,2,2,2,有,無,15030000,162110,坡道平面,28.73,2400000,,RPUNMLNLNHHGFBF18CB,新潤潤見築,B棟5號
泰山區,房地(土地+建物)+車位,新北市泰山區信華二街,14.34,住,,,1110521,土地9建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.64,2,2,2,有,無,14880000,161468,坡道平面,28.73,2300000,,RPSOMLNLNHHGFBF08CB,新潤潤見築,C棟5號
泰山區,房地(土地+建物)+車位,新北市泰山區信華二街,16.23,住,,,1110521,土地9建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.04,3,2,2,有,無,16400000,160797,坡道平面,28.73,2200000,,RPUOMLNLNHHGFBF28CB,新潤潤見築,C棟3號
板橋區,房地(土地+建物)+車位,新北市板橋區華江九路,13.12,商,,,1110521,土地3建物1車位1,十八層,19,辦公商業大樓,商業用,鋼筋混凝土造,,140.1,0,0,0,無,無,20950000,154678,坡道平面,20.82,2500000,,RPQNMLNLNHHGFAF67CB,帝景5號,B棟02號
板橋區,房地(土地+建物)+車位,新北市板橋區環河西路四段,28.94,住,,,1110521,土地4建物1車位1,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,200.92,3,2,2,有,無,28530000,157408,坡道平面,33.33,2150000,雨遮計坪不計價,RPXOMLNLNHHGFAF48CB,統創曜,B棟B5-13F號
板橋區,房地(土地+建物)+車位,新北市板橋區縣民大道與南雅南路口,18.73,住,,,1110521,土地35建物1車位1,二十一層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,192.77,3,2,2,有,無,27650000,182602,坡道平面,53.67,2250000,,RPPNMLOLNHHGFAF67CB,萬禧園,A1-21F號
新店區,房地(土地+建物)+車位,新北市新店區央北二路,27.35,住,,,1110521,土地3建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.77,3,2,2,有,無,26120000,207542,坡道平面,40.48,2400000,,RPSNMLOLNHHGFCF18CB,宏盛心中央,A棟A7-3F號
三峽區,房地(土地+建物)+車位,新北市三峽區大德路,12.5,住,,,1110521,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.92,2,2,1,有,無,12480000,145146,坡道平面,38.65,1700000,,RPQOMLOLNHHGFIF68CB,北大富御,C5棟3號
三峽區,房地(土地+建物)+車位,新北市三峽區大德路,16.4,住,,,1110523,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.65,2,2,2,有,無,16130000,146689,坡道平面,41.96,1800000,,RPROMLOLNHHGFIF78CB,北大富御,C2棟8號
三峽區,房地(土地+建物)+車位,新北市三峽區大德路,16.4,住,,,1110523,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.65,2,2,2,有,無,16030000,146689,坡道平面,41.96,1700000,,RPSOMLOLNHHGFIF88CB,北大富御,C3棟8號
三峽區,房地(土地+建物)+車位,新北市三峽區大德路,12.5,住,,,1110524,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.07,2,2,1,有,無,12480000,145146,坡道平面,45.8,1700000,,RPTOMLOLNHHGFIF98CB,北大富御,C1棟7號
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路二段202巷65弄,16.9,住,,,1110522,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.33,3,2,2,有,無,11510000,82552,坡道平面,30.89,1650000,,RPPNMLPLNHHGFEF28DB,新潤心苑,A8-2F號
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路二段202巷65弄,16.76,住,,,1110521,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.33,3,2,2,有,無,11700000,83724,坡道平面,30.89,1700000,,RPSNMLPLNHHGFEF58DB,新潤心苑,A8-7F號
