鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
土城區,房地(土地+建物),新北市土城區中央路一段318巷12號旁,12.49,住,,,1110611,土地4建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.07,2,2,1,有,無,10770000,155929,,0.0,0,,RPPNMLMKOHHGFAF47CB,?暘城中央,C-11F號
三重區,房地(土地+建物)+車位,新北市三重區元富一街A3-2F,22.8,住,,,1110612,土地2建物1車位1,二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,174.33,3,2,2,有,無,22000000,143450,坡道平面,37.0,2300000,,RPRNMLMKOHHGFGF28CB,漾時光,A3-2F號
淡水區,房地(土地+建物),新北市淡水區中正東路2段5巷,18.47,住,,,1110611,土地16建物1車位0,四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,104.89,3,1,2,有,無,11850000,112975,,0.0,0,交易總價含下列非屬預售屋價格之費用:含裝潢費；含傢俱設備費；,RPQNMLNKOHHGFEF08CB,湯泉紅樹林,B棟B2-4F號
,車位,新北市淡水區中正東路2段5巷,0.0,,,,1110611,土地0建物0車位1,地下三層,22,住宅大樓(11層含以上有電梯),停車空間,鋼筋混凝土造,,0.0,0,0,0,無,無,1350000,,坡道平面,29.09,1350000,,RPSNMLNKOHHGFEF28CB,湯泉紅樹林,B3-247號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,13.19,住,,,1110612,土地24建物1車位1,十八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.03,3,1,2,有,無,23730000,181492,坡道平面,25.3,2000000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPTOMLNKOHHGFAF08CB,新美齊?世代,C棟D2-18F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,14.65,住,,,1110612,土地24建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.15,3,1,2,有,無,25970000,178924,坡道平面,25.3,2200000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPUOMLNKOHHGFAF18CB,新美齊?世代,D棟F1-16F號
泰山區,房地(土地+建物)+車位,新北市泰山區信華二街,16.23,住,,,1110611,土地9建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.07,3,2,2,有,無,16060000,158079,坡道平面,26.76,2100000,,RPTNMLNKOHHGFBF08CB,新潤潤見築,B棟3號
泰山區,房地(土地+建物)+車位,新北市泰山區信華二街,16.23,住,,,1110611,土地9建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.14,3,2,2,有,無,16230000,160508,坡道平面,28.73,2200000,,RPOOMLNKOHHGFBF67CB,新潤潤見築,C棟2號
新店區,房地(土地+建物),新北市新店區中山路,15.5,住,,,1110611,土地2建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,73.84,2,2,1,有,無,16580000,224540,,0.0,0,,RPPNMLNKOHHGFCF77CB,漢皇吾岳,B棟D5/13F號
