鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路1段306號旁工地,13.0,住,,,1110913,土地1建物1車位1,十五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.66,2,2,1,有,無,8680000,81201,坡道平面,31.7,1700000,,RPSNMLNKRHHGFEF58CB,新品苑,A6棟15F號
三重區,房地(土地+建物),新北市三重區福德北路90號4樓,16.3,住,,,1110911,土地2建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.17,3,2,2,有,無,25880000,175851,,0.0,0,1.雨遮不計價。2.土地已由8筆整合成2筆。,RPUNMLNKRHHGFGF98CB,寶石心富町,A3戶棟4F號
土城區,房地(土地+建物)+車位,新北市土城區莊園街,8.9,住,,,1110914,土地4建物1車位1,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.15,2,1,1,有,無,13900000,176834,坡道平面,18.4,2450000,,RPOQMLOKRHHGFAF18CB,金城舞5 世界花園,B8棟17F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,20.82,住,,,1110913,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.08,3,2,2,有,無,23780000,177177,坡道平面,35.41,2400000,,RPPQMLOKRHHGFAF28CB,東瑩日光,A棟1-6F號
五股區,房地(土地+建物)+車位,新北市五股區新五路三段,16.73,住,,,1110912,土地4建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.76,3,2,2,有,無,14800000,120560,坡道平面,23.55,0,,RPVOMLOKRHHGFBF78CB,天空之邑,B9棟7F號
五股區,房地(土地+建物)+車位,新北市五股區新五路三段,12.87,住,,,1110912,土地4建物1車位1,四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.23,3,2,1,有,無,11700000,120333,坡道平面,23.55,0,,RPWOMLOKRHHGFBF88CB,天空之邑,B7棟4F號
五股區,房地(土地+建物)+車位,新北市五股區新五路三段,10.3,住,,,1110914,土地4建物1車位1,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,83.37,2,2,1,有,無,10500000,125945,坡道平面,23.55,0,交易總價含下列非屬預售屋價格之費用:含裝潢費550000元；家電費:0元,RPXOMLOKRHHGFBF98CB,天空之邑,A11棟3F號
五股區,房地(土地+建物)+車位,新北市五股區新五路三段,10.94,住,,,1110914,土地4建物1車位1,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.1,3,2,1,有,無,10700000,124274,坡道平面,21.67,0,,RPOPMLOKRHHGFBF18CB,天空之邑,B3棟14F號
五股區,房地(土地+建物)+車位,新北市五股區新城八路,14.95,住,,,1110911,土地7建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.4,3,2,2,有,無,14600000,144980,坡道平面,24.63,2600000,交易總價含下列非屬預售屋價格之費用:家電費:0元,RPWPMLOKRHHGFBF98CB,芳洲漾,B5棟11F號
