鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
淡水區,房地(土地+建物)+車位,新北市淡水區八勢一街,16.47,住,,,1110903,土地2建物1車位1,十四層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,119.22,2,2,1,有,無,12320000,127665,坡道平面,32.9,1300000,,RPPNMLNJRHHGFEF18CB,岳泰峰碩,A棟8-14號
,車位,新北市板橋區南雅西路,0.0,,,,1110902,土地0建物1車位1,地下五層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,25.3,0,0,0,無,無,2150000,,坡道平面,25.3,2150000,本交易僅有車位8F含）以下樓層為SRC建築9F~24F為RC建築,RPQNMLPJRHHGFAF08CB,新美齊?世代,D棟E5-14F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,12.3,住,,,1110903,土地24建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.72,3,1,2,有,無,23600000,191169,坡道平面,25.3,2300000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPRNMLPJRHHGFAF18CB,新美齊?世代,C棟D8-22F號
土城區,房地(土地+建物)+車位,新北市土城區中州路30巷,12.59,住,,,1110901,土地7建物1車位1,十六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.73,1,1,1,有,無,10280000,145175,坡道平面,35.94,1600000,,RPWOMLPJRHHGFAF78CB,仁基京品,D棟16號
土城區,房地(土地+建物)+車位,新北市土城區中州路30巷,18.8,住,,,1110901,土地7建物1車位1,十六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.14,2,2,2,有,無,14400000,140135,坡道平面,35.94,1900000,,RPRPMLPJRHHGFAF38CB,仁基京品,A棟16號
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段與信義路交叉口,16.21,住,,,1110902,土地4建物1車位1,十八層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.47,3,2,2,有,無,18650000,141282,坡道平面,31.39,2250000,,RPTNMLPJRHHGFBF48CB,潤鴻日麗,B棟7-18F號
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段與信義路交叉口,16.21,住,,,1110902,土地4建物1車位1,十層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.47,3,2,2,有,無,17650000,133529,坡道平面,31.39,2150000,,RPVNMLPJRHHGFBF68CB,潤鴻日麗,B棟7-10F號
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段與信義路交叉口,12.27,住,,,1110904,土地4建物1車位1,十八層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.4,2,2,2,有,無,15600000,151687,坡道平面,31.39,2250000,,RPOOMLPJRHHGFBF08CB,潤鴻日麗,B棟2-18F號
林口區,房地(土地+建物)+車位,新北市林口區文化二路二段,9.55,商,,,1110903,土地2建物1車位1,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.11,4,2,2,有,無,19300000,136706,坡道平面,25.39,2250000,,RPSOMLPJRHHGFBF48CB,新潤Double,B棟3-14F號
新莊區,房地(土地+建物)+車位,新北市新莊區中央路,13.38,商,,,1110902,土地3建物1車位1,十五層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.36,3,2,2,有,無,20200000,182731,坡道平面,36.76,2000000,,RPQPMLPJRHHGFBF38CB,百邑富都匯,C1-15F號
三重區,房地(土地+建物)+車位,新北市三重區中正南路250巷,22.11,住,,,1110903,土地1建物1車位1,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.26,3,2,2,有,無,27260000,208312,坡道平面,32.88,2600000,,RPTPMLPJRHHGFGF56CB,新美齊The Top,A棟A1-2F號
三重區,房地(土地+建物)+車位,新北市三重區中正南路250巷,22.11,住,,,1110902,土地1建物1車位1,十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.35,3,2,2,有,無,28400000,217777,坡道平面,32.88,2600000,,RPWPMLPJRHHGFGF86CB,新美齊The Top,A棟A5-12F號
新店區,房地(土地+建物)+車位,新北市新店區中山路,15.88,住,,,1110904,土地2建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.31,2,2,1,有,無,19080000,214163,坡道平面,25.76,2900000,,RPPNMLPJRHHGFCF18CB,漢皇吾岳,A棟B6/6F號
鶯歌區,房地(土地+建物),新北市鶯歌區尖山埔路,20.36,住,,,1110905,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,77.39,2,1,1,有,無,7350000,94974,,0.0,0,原新北市鶯歌區陶瓷段668、669、677地號土地合併新地號:新北市鶯歌區陶瓷段668地號,RPPNMLQJRHHGFIF98DB,學豐,A棟4號
中和區,房地(土地+建物)+車位,新北市中和區安樂路１９１巷６號旁,14.65,住,,,1110905,土地8建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.15,2,2,2,有,無,19090000,180301,其他,12.7,1700000,雨遮面積登記不計價,RPOOMLRJRHHGFHF88CB,華鋐晴朗,B棟B1-5F號
泰山區,房地(土地+建物)+車位,新北市泰山區中環路二段及莊田路交叉口,23.6,住,,,1110901,土地5建物1車位2,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.81,3,2,2,有,無,22790000,142619,坡道平面,54.06,4000000,,RPQNMLRJRHHGFBF38CB,宏道豐?,A棟A3-3F號
泰山區,房地(土地+建物)+車位,新北市泰山區中環路二段及莊田路交叉口,14.88,住,,,1110901,土地5建物1車位1,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.14,2,2,2,有,無,15990000,166526,坡道平面,27.03,2150000,,RPRNMLRJRHHGFBF48CB,宏道豐?,A棟A9-02F號
新莊區,房地(土地+建物)+車位,新北市新莊區新北大道三段與新知八路交叉口,12.91,商,,,1110901,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.14,3,2,2,有,無,19750000,169483,坡道平面,26.0,2100000,,RPVNMLRJRHHGFBF88CB,海研A3光點,A3-11F號
