﻿鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段41巷,17.33,住,,,1110722,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.07,2,2,2,有,無,15880000,138840,坡道平面,30.42,2600000,,RPQNMLSJQHHGFBF38CB,合峰曜境,B1棟12F號
新莊區,房地(土地+建物)+車位,新北市新莊區昌德街與福壽街交叉口,9.51,住,,,1110730,土地1建物1車位1,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,102.11,0,0,1,有,無,23880000,282028,坡道平面,25.77,2350000,交易總價含下列非屬預售屋價格之費用:家電費:0元,RPSNMLSJQHHGFBF58CB,青青,A棟S1-1F號
新莊區,房地(土地+建物)+車位,新北市新莊區昌德街與福壽街交叉口,10.32,住,,,1110727,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.5,3,2,1,有,無,18250000,191090,坡道平面,25.77,2250000,交易總價含下列非屬預售屋價格之費用:家電費:0元,RPTNMLSJQHHGFBF68CB,青青,A棟A1-5F號
三重區,房地(土地+建物),新北市三重區重新路四段A2-11F,8.67,商,,,1110731,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.44,2,1,1,有,無,12200000,205249,,0.0,0,,RPPNMLSJQHHGFGF88DB,漢特金捷,A2-11F號
新店區,房地(土地+建物)+車位,新北市新店區斯馨路日月街口,24.84,住,,,1110725,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.53,3,2,2,有,無,27850000,214207,坡道平面,30.42,2550000,,RPPNMLSJQHHGFCF38CB,鼎實唯我,A棟A2號
新店區,房地(土地+建物)+車位,新北市新店區斯馨路日月街口,24.84,住,,,1110726,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.53,3,2,2,有,無,28320000,217340,坡道平面,30.42,2650000,,RPQNMLSJQHHGFCF48CB,鼎實唯我,A棟A3號
三峽區,房地(土地+建物),新北市三峽區中華路,9.48,商,,,1110725,土地1建物1車位0,四層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,52.01,0,0,1,有,無,6760000,129975,,0.0,0,,RPPNMLSJQHHGFIF98CB,立信園中心,A棟4號
三峽區,房地(土地+建物),新北市三峽區中華路,14.33,商,,,1110725,土地1建物1車位0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,78.6,3,2,2,有,無,10790000,137277,,0.0,0,,RPQNMLSJQHHGFIF09CB,立信園中心,C棟5號
三峽區,房地(土地+建物),新北市三峽區中華路,12.4,商,,,1110731,土地1建物1車位0,二層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,68.01,0,0,2,有,無,8340000,122629,,0.0,0,,RPRNMLSJQHHGFIF56CB,立信園中心,D棟2號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳鳴路,26.4,住,,,1110726,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.3,3,2,2,有,無,14630000,109743,坡道平面,36.29,1350000,,RPTNMLSJQHHGFIF76CB,和耀?心綻,A4棟3F號
三重區,房地(土地+建物)+車位,新北市三重區仁義街,18.61,住,,,1110726,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.93,3,2,2,有,無,23100000,192130,坡道平面,39.67,2300000,露臺戶,RPRNMLSJQHHGFGF98CB,元利樂樺,A6-2F號
三重區,房地(土地+建物)+車位,新北市三重區仁義街,18.6,住,,,1110727,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.92,3,2,2,有,無,21700000,180089,坡道平面,36.64,2200000,,RPSNMLSJQHHGFGF09CB,元利樂樺,A6-4F號
林口區,房地(土地+建物)+車位,新北市林口區民權路,49.92,住,,,1110729,土地1建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,168.79,3,2,2,有,無,19800000,132069,坡道平面,31.74,1700000,,RPRNMLTJQHHGFBF68DB,山業寓璽,A1棟2樓號
土城區,房地(土地+建物)+車位,新北市土城區中州路30巷,12.59,住,,,1110730,土地7建物1車位1,十四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.73,1,1,1,有,無,10080000,141830,坡道平面,35.94,1600000,,RPQNMLTJQHHGFAF38CB,仁基京品,D棟14號
土城區,房地(土地+建物)+車位,新北市土城區中州路30巷,12.59,住,,,1110723,土地7建物1車位1,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.73,1,1,1,有,無,10000000,138819,坡道平面,35.94,1700000,,RPRNMLTJQHHGFAF48CB,仁基京品,D棟12號
土城區,房地(土地+建物)+車位,新北市土城區中州路30巷,12.59,住,,,1110723,土地7建物1車位1,十一層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.73,1,1,1,有,無,9630000,130958,坡道平面,35.94,1800000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPSNMLTJQHHGFAF58CB,仁基京品,D棟11號
