鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
三重區,房地(土地+建物)+車位,新北市三重區集賢路與集英路交叉口,24.59,住,,,1110622,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.1,3,2,2,有,無,21000000,167534,坡道平面,39.69,2000000,雨遮不計價,RPQNMLNLOHHGFGF38CB,集英富琚,C棟10號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,16.25,住,,,1110622,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.69,2,2,1,有,無,8570000,98438,坡道平面,35.9,1700000,,RPSNMLQLOHHGFIF09CB,森聯life-森朗社區,A03棟07號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,21.17,住,,,1110622,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.75,2,2,1,有,無,9800000,90259,坡道平面,35.9,1600000,,RPWNMLQLOHHGFIF86CB,森聯life-森朗社區,B02棟03號
八里區,房地(土地+建物)+車位,新北市八里區商港八路及商港一路交叉口,32.17,住,,,1110624,土地2建物1車位1,六層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,166.93,4,2,2,有,無,15000000,93413,坡道平面,21.34,1400000,,RPPNMLQLOHHGFEF38CB,天朗,1棟A4-6F號
八里區,房地(土地+建物)+車位,新北市八里區中山路一段,28.03,住,,,1110621,土地1建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,149.93,3,2,2,有,無,11560000,80789,坡道平面,29.74,1850000,,RPSNMLRLOHHGFEF78CB,左岸玫瑰,A棟5-11F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,14.65,住,,,1110625,土地24建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.15,3,1,2,有,無,26490000,181332,坡道平面,25.3,2400000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPTOMLRLOHHGFAF58CB,新美齊?世代,D棟F1-20F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,14.65,住,,,1110625,土地24建物1車位1,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.15,3,1,2,有,無,26310000,180730,坡道平面,25.3,2300000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPVOMLRLOHHGFAF78CB,新美齊?世代,D棟F1-19F號
新莊區,房地(土地+建物)+車位,新北市新莊區昌德街與福壽街交叉口,12.9,住,,,1110623,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.21,3,2,2,有,無,21700000,183359,坡道平面,25.77,2550000,交易總價含下列非屬預售屋價格之費用:家電費:0元,RPQNMLRLOHHGFBF28CB,青青,B棟B6-13F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,50.95,住,,,1110621,土地1建物1車位2,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,262.9,3,2,3,有,無,50080000,223376,坡道平面,60.64,4900000,,RPPNMLRLOHHGFHF78CB,華固得月,A1-17F號
