鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,20.82,住,,,1110822,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.08,3,2,2,有,無,23200000,171128,坡道平面,35.41,2550000,,RPVPMLOKRHHGFAF78CB,東瑩日光,A棟1-3F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,20.82,住,,,1110822,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.08,3,2,2,有,無,23030000,169719,坡道平面,35.41,2550000,,RPWPMLOKRHHGFAF88CB,東瑩日光,A棟1-4F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,20.82,住,,,1110822,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.08,3,2,2,有,無,23810000,177426,坡道平面,35.41,2400000,,RPWQMLOKRHHGFAF98CB,東瑩日光,A棟1-7F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,20.82,住,,,1110827,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.08,3,2,2,有,無,24070000,178338,坡道平面,35.41,2550000,,RPORMLOKRHHGFAF28CB,東瑩日光,A棟1-10F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,20.82,住,,,1110822,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.08,3,2,2,有,無,24470000,181238,坡道平面,35.41,2600000,,RPQRMLOKRHHGFAF48CB,東瑩日光,A棟1-14F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,20.82,住,,,1110821,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.08,3,2,2,有,無,24520000,181238,坡道平面,35.41,2650000,,RPRRMLOKRHHGFAF58CB,東瑩日光,A棟1-15F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,19.07,住,,,1110821,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.44,3,2,2,有,無,21450000,171575,坡道平面,35.41,2400000,,RPSRMLOKRHHGFAF68CB,東瑩日光,A棟2-3F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,19.07,住,,,1110822,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.44,3,2,2,有,無,21230000,170044,坡道平面,35.41,2350000,,RPTRMLOKRHHGFAF78CB,東瑩日光,A棟2-4F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,19.07,住,,,1110823,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.44,3,2,2,有,無,21420000,172656,坡道平面,35.41,2250000,,RPURMLOKRHHGFAF88CB,東瑩日光,A棟2-5F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,19.07,住,,,1110821,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.44,3,2,2,有,無,22260000,177520,坡道平面,35.41,2550000,,RPVRMLOKRHHGFAF98CB,東瑩日光,A棟2-6F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,19.07,住,,,1110823,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.44,3,2,2,有,無,21950000,177880,坡道平面,35.41,2200000,,RPWRMLOKRHHGFAF09CB,東瑩日光,A棟2-7F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,19.07,住,,,1110824,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.44,3,2,2,有,無,22170000,178060,坡道平面,35.41,2400000,,RPXRMLOKRHHGFAF56CB,東瑩日光,A棟2-8F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,19.07,住,,,1110827,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.44,3,2,2,有,無,22560000,182023,坡道平面,35.41,2350000,,RPOSMLOKRHHGFAF38CB,東瑩日光,A棟2-14F號
