鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
三重區,房地(土地+建物)+車位,新北市三重區元富二街,25.75,住,,,1110703,土地1建物1車位1,十九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.68,3,2,2,有,無,29350000,181775,坡道平面,35.42,2400000,雨遮不計價。,RPPNMLNJPHHGFGF18CB,元富信城鼎,A1-19F號
新店區,房地(土地+建物),新北市新店區斯馨路日月街口,16.88,住,,,1110701,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.78,2,2,2,有,無,17000000,210448,,0.0,0,,RPPNMLNJPHHGFCF77CB,鼎實唯我,B棟B1號
淡水區,房地(土地+建物)+車位,新北市淡水區中山北路三段,21.98,住,,,1110702,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.94,2,2,1,有,無,11200000,87984,升降平面,38.01,1000000,,RPXNMLNJPHHGFEF88DB,文學苑,A1棟9號
三重區,房地(土地+建物)+車位,新北市三重區光復路二段87巷,22.56,住,,,1110703,土地9建物1車位1,十六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.58,3,2,2,有,無,21620000,162221,坡道平面,35.25,2100000,,RPQNMLOJPHHGFGF38CB,漢皇鼎真,C棟0號
泰山區,房地(土地+建物)+車位,新北市泰山區信華二街,16.23,住,,,1110701,土地9建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.04,3,2,2,有,無,16360000,161477,坡道平面,28.73,2100000,,RPVOMLOJPHHGFBF48CB,新潤潤見築,B棟3號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,14.33,住,,,1110701,土地24建物1車位1,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.9,3,1,2,有,無,25510000,179861,坡道平面,25.3,2200000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPPPMLOJPHHGFAF87CB,新美齊?世代,C棟C1-13F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,17.24,住,,,1110702,土地24建物1車位1,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,181.18,4,1,2,有,無,30080000,177572,坡道平面,25.3,2400000,8F含）以下樓層為SRC建築9F-24F為RC建築,RPSPMLOJPHHGFAF18CB,新美齊?世代,A棟A1-8F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,12.87,住,,,1110701,土地24建物1車位1,五層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,141.7,3,1,2,有,無,22080000,171649,坡道平面,25.3,2100000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPUPMLOJPHHGFAF38CB,新美齊?世代,D棟F6-5F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,14.65,住,,,1110702,土地24建物1車位1,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.15,3,1,2,有,無,25990000,179827,坡道平面,25.3,2100000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPVPMLOJPHHGFAF48CB,新美齊?世代,D棟F1-17F號
三重區,房地(土地+建物)+車位,新北市三重區頂文路1-1號,15.97,住,,,1110702,土地5建物1車位1,六層,25,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,106.13,2,2,1,有,無,16620000,200913,坡道平面,33.86,2100000,,RPSNMLPJPHHGFGF68CB,新濠漾II 紐約公園,A7棟6號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,22.4,住,,,1110702,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.39,2,2,2,有,無,11460000,102233,坡道平面,35.9,1800000,,RPQOMLPJPHHGFIF78CB,森聯life-森朗社區,A09棟03號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,26.83,住,,,1110701,土地1建物1車位2,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,186.27,3,2,2,有,無,15130000,104219,坡道平面,71.8,3200000,,RPSOMLPJPHHGFIF98CB,森聯life-森朗社區,B01棟08號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,21.17,住,,,1110702,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.75,2,2,1,有,無,11570000,108641,坡道平面,35.9,1700000,,RPWOMLPJPHHGFIF76CB,森聯life-森朗社區,B02棟11號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,16.25,住,,,1110702,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.69,2,2,1,有,無,8860000,103310,坡道平面,35.9,1650000,,RPPPMLPJPHHGFIF78CB,森聯life-森朗社區,A02棟10號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,16.25,住,,,1110702,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.69,2,2,1,有,無,9120000,106319,坡道平面,35.9,1700000,,RPQPMLPJPHHGFIF88CB,森聯life-森朗社區,A03棟10號
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路,22.32,住,,,1110702,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.52,3,1,1,有,無,15980000,120021,坡道平面,23.29,2150000,,RPPNMLQJPHHGFDF18CB,半島花園G棟,G棟1號
三重區,房地(土地+建物)+車位,新北市三重區集賢路與集英路交叉口,24.59,住,,,1110702,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.1,3,2,2,有,無,19350000,152985,坡道平面,39.69,2000000,雨遮不計價,RPPNMLQJPHHGFGF48CB,集英富琚,C棟4號
板橋區,房地(土地+建物)+車位,新北市板橋區環河西路四段,24.06,住,,,1110704,土地4建物1車位1,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,166.59,3,2,2,有,無,22700000,155335,坡道平面,33.33,2000000,雨遮計坪不計價,RPTNMLQJPHHGFAF28CB,統創曜,B棟B7-03F號
板橋區,房地(土地+建物)+車位,新北市板橋區華江三路,25.43,住,,,1110704,土地9建物1車位1,二十一層,31,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,180.97,4,1,2,有,無,33220000,197554,坡道平面,23.95,2200000,,RPVNMLQJPHHGFAF48CB,帝景1號,A棟05號
土城區,房地(土地+建物)+車位,新北市土城區莊園街11號旁,27.91,住,,,1110702,土地1建物1車位1,十八層,33,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,177.55,3,2,2,有,無,26200000,169379,坡道平面,34.97,2050000,,RPQNMLRJPHHGFAF08CB,大同莊園III,A棟A1-18F號
土城區,房地(土地+建物)+車位,新北市土城區莊園街11號旁,20.2,住,,,1110702,土地1建物1車位1,十八層,33,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,138.07,3,2,2,有,無,20420000,178661,坡道平面,34.97,2000000,,RPRNMLRJPHHGFAF18CB,大同莊園III,A棟A2-18F號
土城區,房地(土地+建物)+車位,新北市土城區莊園街11號旁,27.26,住,,,1110702,土地1建物1車位1,二十二層,33,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,174.41,3,2,2,有,無,26530000,175201,坡道平面,34.97,2100000,,RPSNMLRJPHHGFAF28CB,大同莊園III,A棟A9-22F號
