鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
三峽區,房地(土地+建物)+車位,新北市三峽區大德路,16.4,住,,,1110601,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.65,2,2,2,有,無,16270000,148122,坡道平面,41.96,1800000,,RPTNMLLJOHHGFIF48CB,北大富御,C2棟9號
八里區,房地(土地+建物)+車位,新北市八里區龍形三街,20.27,住,,,1110601,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.86,3,2,2,有,無,12180000,103721,坡道平面,24.64,2200000,,RPTNMLMJOHHGFEF28DB,勤樸天闊,A棟4號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,26.83,住,,,1110602,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.37,3,2,2,有,無,13810000,105792,坡道平面,35.9,1700000,,RPTNMLNJOHHGFIF68CB,森聯life-森朗社區,B01棟09號
泰山區,房地(土地+建物)+車位,新北市泰山區莊泰路,11.65,住,,,1110603,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.09,2,2,1,有,無,11780000,154272,坡道平面,31.64,2300000,總價含家電,RPTNMLOJOHHGFBF08CB,文華?,A05-03F號
淡水區,房地(土地+建物),新北市淡水區沙崙路二段、新市六路一段交叉口,9.88,商,,,1110604,土地1建物1車位0,十層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.67,2,2,1,有,無,6890000,85410,,0.0,0,,RPRNMLPJOHHGFEF28CB,名軒海樂地,I棟8-10號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳吉一街與鳳一路口,21.36,住,,,1110603,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.78,2,2,1,有,無,7990000,77702,坡道平面,30.83,1700000,,RPPNMLQJOHHGFIF58CB,立瑾Way,A2棟8號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,22.4,住,,,1110605,土地1建物1車位1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.39,2,2,2,有,無,11260000,102233,坡道平面,35.9,1600000,,RPRNMLQJOHHGFIF78CB,森聯life-森朗社區,A09棟09號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,22.65,住,,,1110604,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.94,2,2,2,有,無,10880000,97643,坡道平面,35.9,1600000,,RPSNMLQJOHHGFIF88CB,森聯life-森朗社區,A06棟03號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,20.43,住,,,1110603,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.69,2,2,1,有,無,10430000,101720,坡道平面,35.9,1500000,,RPTNMLQJOHHGFIF98CB,森聯life-森朗社區,B05棟10號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,16.25,住,,,1110604,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.69,2,2,1,有,無,8230000,96432,坡道平面,35.9,1500000,,RPUNMLQJOHHGFIF09CB,森聯life-森朗社區,A02棟03號
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區鳳七路與鳳五路鳳鳴段175地號,16.25,住,,,1110605,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.69,2,2,1,有,無,8450000,99584,坡道平面,35.9,1500000,,RPWNMLQJOHHGFIF66CB,森聯life-森朗社區,A08棟03號
新店區,房地(土地+建物),新北市新店區中山路,15.88,住,,,1110605,土地2建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,75.55,2,2,1,有,無,16750000,221707,,0.0,0,,RPPNMLQJOHHGFCF97CB,漢皇吾岳,A棟B6/10F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,50.95,住,,,1110603,土地1建物1車位2,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,262.9,3,2,3,有,無,50000000,223475,坡道平面,60.64,4800000,,RPQNMLQJOHHGFHF58CB,華固得月,A1-19F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,50.95,住,,,1110603,土地1建物1車位2,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,262.9,3,2,3,有,無,49720000,224562,坡道平面,60.64,4300000,,RPRNMLQJOHHGFHF68CB,華固得月,A1-20F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,50.95,住,,,1110603,土地1建物1車位2,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,262.9,3,2,3,有,無,47880000,214476,坡道平面,60.64,4500000,,RPSNMLQJOHHGFHF78CB,華固得月,A1-09F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,29.33,住,,,1110602,土地1建物1車位1,十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.8,3,2,2,有,無,24330000,188702,坡道平面,30.32,2350000,,RPTNMLQJOHHGFHF88CB,華固得月,A3-11F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,29.33,住,,,1110602,土地1建物1車位1,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.8,3,2,2,有,無,24930000,193853,坡道平面,30.32,2350000,,RPUNMLQJOHHGFHF98CB,華固得月,A3-19F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,29.33,住,,,1110604,土地1建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.8,3,2,2,有,無,24880000,193424,坡道平面,30.32,2350000,,RPVNMLQJOHHGFHF09CB,華固得月,A3-20F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,29.33,住,,,1110601,土地1建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.8,3,2,2,有,無,24150000,186298,坡道平面,30.32,2450000,,RPXNMLQJOHHGFHF66CB,華固得月,A3-07F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,20.36,住,,,1110601,土地1建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.21,2,2,1,有,無,17980000,193843,坡道平面,30.32,2300000,,RPOOMLQJOHHGFHF48CB,華固得月,A5-10F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,29.04,住,,,1110604,土地1建物1車位1,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.67,3,2,2,有,無,24190000,189770,坡道平面,30.32,2300000,,RPQOMLQJOHHGFHF68CB,華固得月,A6-15F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,29.04,住,,,1110604,土地1建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.67,3,2,2,有,無,24250000,190290,坡道平面,30.32,2300000,,RPROMLQJOHHGFHF78CB,華固得月,A6-16F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,29.04,住,,,1110601,土地1建物1車位1,二十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.67,3,2,2,有,無,24970000,195232,坡道平面,30.32,2450000,,RPSOMLQJOHHGFHF88CB,華固得月,A6-23F號
中和區,房地(土地+建物)+車位,新北市中和區中原街26號旁,29.04,住,,,1110604,土地1建物1車位2,六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.99,3,2,2,有,無,25480000,184049,坡道平面,60.64,4250000,,RPTOMLQJOHHGFHF98CB,華固得月,A6-06F號
中和區,房地(土地+建物)+車位,新北市中和區員山路２６６巷旁,10.58,商,,,1110605,土地37建物1車位1,十九層,29,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,169.61,3,2,2,有,無,24760000,175435,坡道平面,38.45,1750000,雨遮面積登記不計價,RPUOMLQJOHHGFHF09CB,擎天峰和,A2-19F號
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路1段306號旁工地,13.0,住,,,1110604,土地1建物1車位1,十二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.35,2,2,1,有,無,7800000,77495,坡道平面,31.7,1550000,,RPSNMLRJOHHGFEF58CB,新品苑,B3棟12F號
淡水區,房地(土地+建物)+車位,新北市淡水區紅樹林路,27.87,住,,,1110602,土地3建物1車位1,七層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,186.18,3,2,2,有,無,15220000,95364,坡道平面,45.98,1850000,,RPRNMLSJOHHGFEF58CB,好風光II,B棟3號
淡水區,房地(土地+建物)+車位,新北市淡水區紅樹林路,25.56,住,,,1110603,土地3建物1車位1,八層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,174.33,3,2,2,有,無,15080000,103078,坡道平面,45.98,1850000,,RPSNMLSJOHHGFEF68CB,好風光II,B棟4號
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段上,12.9,商,,,1110602,土地4建物1車位1,十九層,23,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,154.64,3,2,2,有,無,21300000,150039,坡道平面,27.34,2200000,,RPPNMLSJOHHGFBF08CB,亞昕昕銀座,A2棟19號
土城區,房地(土地+建物)+車位,新北市土城區莊園街11號旁,28.24,住,,,1110604,土地1建物1車位1,三層,33,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,178.87,3,2,2,有,無,25800000,164698,坡道平面,34.97,2100000,,RPPNMLSJOHHGFAF97CB,大同莊園III,A棟A7-03F號
土城區,房地(土地+建物)+車位,新北市土城區莊園街11號旁,28.24,住,,,1110604,土地1建物1車位1,二十二層,33,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,178.87,3,2,2,有,無,27280000,174983,坡道平面,34.97,2100000,,RPQNMLSJOHHGFAF08CB,大同莊園III,A棟A7-22F號
土城區,房地(土地+建物)+車位,新北市土城區莊園街11號旁,19.54,住,,,1110604,土地1建物1車位1,十九層,33,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,134.89,3,2,2,有,無,20260000,183747,坡道平面,34.97,1900000,,RPRNMLSJOHHGFAF18CB,大同莊園III,A棟A8-19F號
土城區,房地(土地+建物),新北市土城區莊園街11號旁,15.76,住,,,1110604,土地1建物1車位0,七層,30,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,80.58,2,2,1,有,無,14110000,175105,,0.0,0,,RPSNMLSJOHHGFAF28CB,大同莊園III,C棟C7-07F號
