鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
八里區,房地(土地+建物)+車位,新北市八里區商港八路及商港一路交叉口,32.64,住,,,1110511,土地2建物1車位1,十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,169.11,4,2,2,有,無,15050000,92373,坡道平面,21.34,1400000,,RPUPMLLKNHHGFEF38CB,天朗,1棟A6-11F號
八里區,房地(土地+建物)+車位,新北市八里區商港八路及商港一路交叉口,20.26,住,,,1110511,土地2建物1車位1,十六層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,129.34,2,2,1,有,無,10100000,93815,坡道平面,37.67,1500000,,RPQNMLMKNHHGFEF87CB,天朗,1棟A2-16F號
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路二段、新市六路一段交叉口,12.83,商,,,1110512,土地1建物1車位1,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.21,2,2,2,有,無,8990000,75146,坡道平面,33.88,1150000,,RPTOMLNKNHHGFEF38CB,名軒海樂地,E棟5-6號
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路二段、新市六路一段交叉口,12.93,商,,,1110512,土地1建物1車位1,七層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.98,2,2,2,有,無,9700000,80000,坡道平面,34.98,1300000,,RPVOMLNKNHHGFEF58CB,名軒海樂地,F棟6-7號
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路二段、新市六路一段交叉口,9.88,商,,,1110512,土地1建物1車位1,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.9,2,2,1,有,無,8200000,85269,坡道平面,34.98,1300000,,RPOPMLNKNHHGFEF97CB,名軒海樂地,H棟7-16號
八里區,房地(土地+建物)+車位,新北市八里區商港八路及商港一路交叉口,32.17,住,,,1110513,土地2建物1車位1,十四層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,183.26,4,2,2,有,無,15300000,94443,坡道平面,37.67,1550000,,RPPNMLOKNHHGFEF97CB,天朗,1棟A4-14F號
五股區,房地(土地+建物)+車位,新北市五股區成泰路三段,29.43,住,,,1110511,土地7建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.52,3,2,2,有,無,16660000,133041,坡道平面,30.08,2100000,,RPQNMLOKNHHGFBF77CB,山水城州,B棟6號
八里區,房地(土地+建物)+車位,新北市八里區商港八路及商港一路交叉口,32.17,住,,,1110515,土地2建物1車位2,十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,220.93,4,2,2,有,無,17000000,94787,坡道平面,75.34,3200000,,RPUNMLPKNHHGFEF58CB,天朗,1棟A4-12F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,13.19,住,,,1110514,土地24建物1車位1,十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.03,3,1,2,有,無,23400000,177065,坡道平面,25.3,2200000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPSNMLQKNHHGFAF08CB,新美齊?世代,C棟D2-11F號
