鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
泰山區,房地(土地+建物)+車位,新北市泰山區坡雅路信華三街口,11.83,住,,,1110713,土地4建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.11,2,2,1,有,無,12500000,157165,坡道平面,28.21,2300000,,RPTOMLNKPHHGFBF28CB,朗朗城心,A棟10-13F號
土城區,房地(土地+建物)+車位,新北市土城區金城路二段,11.78,商,,,1110711,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,104.36,1,1,1,有,無,14910000,166351,坡道平面,30.36,2600000,,RPUNMLNKPHHGFAF18CB,有富富玉,C棟1號
土城區,車位,新北市土城區科技路,18.87,住,,,1110716,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.11,2,2,2,有,無,1900000,,坡道平面,26.98,1900000,,RPTNMLSKPHHGFAF58CB,天好運2,A棟2號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,9.31,住,,,1110716,土地24建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.76,2,1,1,有,無,18780000,197490,坡道平面,25.3,2100000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPTOMLSKPHHGFAF68CB,新美齊?世代,D棟E6-24F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,18.38,住,,,1110716,土地24建物1車位1,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,191.66,4,1,2,有,無,32530000,182917,坡道平面,25.3,2100000,8F含）以下樓層為SRC建築9F-24F為RC建築,RPVOMLSKPHHGFAF88CB,新美齊?世代,A棟A2-14F號
林口區,房地(土地+建物)+車位,新北市林口區文化北路一段299巷,22.33,住,,,1110712,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,74.63,0,0,0,無,無,8530000,124181,一樓平面,21.24,1900000,,RPQNMLSKPHHGFBF38CB,時尚ONE,A棟2號
林口區,房地(土地+建物),新北市林口區文化北路一段299巷,22.14,住,,,1110712,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,52.82,0,0,0,無,無,6440000,121924,,0.0,0,,RPRNMLSKPHHGFBF48CB,時尚ONE,A棟1號
三重區,房地(土地+建物)+車位,新北市三重區竹圍仔街,9.83,住,,,1110716,土地7建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,89.29,3,2,2,有,無,16050000,205294,坡道平面,22.8,2400000,,RPTNMLSKPHHGFGF56CB,米蘭花園,A09-06F號
三重區,房地(土地+建物)+車位,新北市三重區竹圍仔街,11.67,住,,,1110713,土地7建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.72,3,2,2,有,無,18870000,207425,坡道平面,22.8,2500000,,RPVNMLSKPHHGFGF76CB,米蘭花園,A10-11F號
三重區,房地(土地+建物)+車位,新北市三重區竹圍仔街,14.25,住,,,1110716,土地7建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.18,3,2,2,有,無,21710000,198278,坡道平面,22.8,2600000,,RPOOMLSKPHHGFGF78CB,米蘭花園,A01-12F號
三重區,房地(土地+建物)+車位,新北市三重區竹圍仔街,14.25,住,,,1110717,土地7建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.18,3,2,2,有,無,21460000,196721,坡道平面,22.8,2500000,,RPPOMLSKPHHGFGF88CB,米蘭花園,A01-09F號
