鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
中和區,房地(土地+建物)+車位,新北市中和區建八路,99.44,工,,,1110921,土地1建物1車位3,十七層,17,廠辦,見其他登記事項,鋼筋混凝土造,,678.1,0,0,0,無,無,79880000,123495,坡道平面,75.0,5400000,,RPPNMLMLRHHGFHF58CB,台灣科技公園,A棟7號
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路二段、新市六路一段交叉口,15.65,商,,,1110921,土地1建物1車位1,九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.94,3,2,2,有,無,11640000,81588,坡道平面,34.98,1200000,,RPUNMLNLRHHGFEF88CB,名軒海樂地,H棟1-9號
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路二段、新市六路一段交叉口,15.65,商,,,1110921,土地1建物1車位1,十層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.94,3,2,2,有,無,11860000,82526,坡道平面,34.98,1300000,,RPVNMLNLRHHGFEF98CB,名軒海樂地,H棟1-10號
淡水區,房地(土地+建物)+車位,新北市淡水區八勢一街,20.28,住,,,1110924,土地2建物1車位1,十五層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,138.73,3,2,1,有,無,14820000,127280,坡道平面,32.9,1350000,,RPPNMLPLRHHGFEF58CB,岳泰峰碩,A棟10-15號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,18.38,住,,,1110924,土地24建物1車位1,六層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,191.66,4,1,2,有,無,31790000,176064,坡道平面,25.3,2500000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPPNMLQLRHHGFAF28CB,新美齊?世代,B棟B2-6F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,12.87,住,,,1110921,土地24建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.7,3,1,2,有,無,22730000,174656,坡道平面,25.3,2400000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPSNMLQLRHHGFAF58CB,新美齊?世代,D棟F6-10F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,13.68,住,,,1110925,土地24建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.27,3,1,2,有,無,25680000,187787,坡道平面,25.3,2400000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPTNMLQLRHHGFAF68CB,新美齊?世代,A棟A3-22F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,13.68,住,,,1110923,土地24建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.27,3,1,2,有,無,25860000,190046,坡道平面,25.3,2300000,8F含）以下樓層為SRC建築9F-24F為RC建築,RPUNMLQLRHHGFAF78CB,新美齊?世代,B棟B3-22F號
板橋區,房地(土地+建物)+車位,新北市板橋區南雅西路,14.89,住,,,1110924,土地24建物1車位1,十八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.87,3,1,2,有,無,26200000,177231,坡道平面,25.3,2350000,8F含）以下樓層為SRC建築9F~24F為RC建築,RPVNMLQLRHHGFAF88CB,新美齊?世代,D棟E1-18F號
新莊區,房地(土地+建物)+車位,新北市新莊區昌德街與福壽街交叉口,12.9,住,,,1110926,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.58,3,2,2,有,無,21300000,181923,坡道平面,28.14,2300000,交易總價含下列非屬預售屋價格之費用:家電費:0元,RPQNMLQLRHHGFBF48CB,青青,B棟B2-14F號
新莊區,房地(土地+建物)+車位,新北市新莊區昌德街與福壽街交叉口,12.9,住,,,1110923,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.21,3,2,2,有,無,22380000,189870,坡道平面,25.77,2550000,交易總價含下列非屬預售屋價格之費用:家電費:0元,RPRNMLQLRHHGFBF58CB,青青,B棟B6-15F號
新莊區,房地(土地+建物)+車位,新北市新莊區中央路,13.38,商,,,1110925,土地3建物1車位1,十九層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.61,2,2,1,有,無,15800000,186865,坡道平面,36.76,2000000,,RPXNMLQLRHHGFBF56CB,百邑富都匯,C2-19F號
